id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,code__c,countrycode__c,tracking_url__c,
a9m6C0000008OaUQAU,false,Federal Express,USD,00D6C0000000cYAUAY,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,,,Fedex,,http://www.fedex.com/Tracking?action=track&tracknumbers={0}&cntry_code={1},
a9m6C0000008OaVQAU,false,UPS,USD,00D6C0000000cYAUAY,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,,,UPS,,http://wwwapps.ups.com/WebTracking/track?track=yes&trackNums={0},
a9m6C0000008OaWQAU,false,DHL,USD,00D6C0000000cYAUAY,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,,,DHL,US,http://www.dhl-usa.com/content/us/en/express/tracking.shtml?brand=DHL&AWB={0},
a9m6C0000008OaXQAU,false,DHL-Intl,USD,00D6C0000000cYAUAY,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,,,DHL,,http://webtrack.dhlglobalmail.com/?mobile=&trackingnumber={0},
a9m6C0000008OaYQAU,false,US Postal Service,USD,00D6C0000000cYAUAY,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,,,USPS,,http://wwwapps.ups.com/WebTracking/track?track=yes&trackNums={0},
a9m6C0000008OaZQAU,false,OnTrac,USD,00D6C0000000cYAUAY,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,0056C000000O3jNQAS,2016-12-26 16:49:27,,,OnTrac,,http://www.ontrac.com/trackingdetail.asp?tracking={0},
