id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,
a956C0000008RHiQAM,false,PGL,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Page Labels,
a956C0000008RHjQAM,false,PSI,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Product Spec Indexing,
a956C0000008RHkQAM,false,UR,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,User Profile(Registration),
a956C0000008RHlQAM,false,US,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Up-sells,
a956C0000008RHmQAM,false,PL,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Product List,
a956C0000008RHnQAM,false,PD,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Product Detail,
a956C0000008RHoQAM,false,PLP,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Product List Page,
a956C0000008RHpQAM,false,BIB,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Body Includes Begin,
a956C0000008RHqQAM,false,BIE,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Body Includes End,
a956C0000008RHrQAM,false,RP,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Related Products Widget,
a956C0000008RHsQAM,false,css,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Style Sheet,
a956C0000008RHtQAM,false,CT,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Category Tree,
a956C0000008RHuQAM,false,BC,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Breadcrumb,
a956C0000008RHvQAM,false,C,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Cart,
a956C0000008RHwQAM,false,CF,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Confirmation,
a956C0000008RHxQAM,false,CS,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Cross-sells,
a956C0000008RHyQAM,false,CSW,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Company Social Widget,
a956C0000008RHzQAM,false,SO,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Shipping Options,
a956C0000008RI0QAM,false,UP,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,User Profile,
a956C0000008RI1QAM,false,PayShip,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Payment Shipping,
a956C0000008RI2QAM,false,SB,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Search Box,
a956C0000008RI3QAM,false,WL,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Wishlists/Templates,
a956C0000008RI4QAM,false,TM,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Top Menu,
a956C0000008RI5QAM,false,f,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Footer,
a956C0000008RI6QAM,false,EFF,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Effective Account,
a956C0000008RI7QAM,false,ui,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,User Interface,
a956C0000008RI8QAM,false,subs,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,My Subscriptions,
a956C0000008RI9QAM,false,addr,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Address Book,
a956C0000008RIAQA2,false,WLT,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,My Wallet,
a956C0000008RIBQA2,false,PM,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Promotions,
a956C0000008RICQA2,false,PR,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Product Reviews,
a956C0000008RIDQA2,false,PS,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Product Social Widget,
