id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,desc__c,enabled__c,label__c,value__c,
aA9G0000000Kz2tKAC,false,Global.All.PL.DsplUOM,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz2uKAC,false,Global.All.C.DsplAddtlSku,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz2vKAC,false,wireframe.HP.css.100,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,css/js-image-slider.css,
aA9G0000000Kz2wKAC,false,Global.All.PL.DsplPgn,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz4eKAC,false,wireframe.HP.QO.DsplInst,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,,
aA9G0000000Kz4fKAC,false,Global.All.H.TagLine,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,false,,images/home/tagline.gif,
aA9G0000000Kz4gKAC,false,Wireframe.HP.H.TagLine,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,false,,images/home/tagline.gif,
aA9G0000000Kz4hKAC,false,Global.All.rfq.GuestUser,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: Show Request for Quote button,true,,TRUE,
aA9G0000000Kz4iKAC,false,Global.All.rfq.LoggedIn,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: Request for Quote button,true,,TRUE,
aA9G0000000Kz5lKAC,false,Global.All.nav.subs,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Set to TRUE if My Account - My Subscriptions is enabled,true,,TRUE,
aA9G0000000Kz5mKAC,false,Global.All.nav.wallet,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Set to TRUE if My Account - My Wallet is enabled,true,,FALSE,
aA9G0000000Kz5nKAC,false,Global.MA.srch.ord,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Show searchbox on My Order,true,,TRUE,
aA9G0000000Kz5oKAC,false,Global.MA.srch.subs,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Show searchbox on My Subscription,true,,TRUE,
aA9G0000000Kz5pKAC,false,Global.MA.shAct.subs,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Show actions column in My Subscription summary view,true,,TRUE,
aA9G0000000Kz5qKAC,false,Global.MA.subs.shDisc,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Show discount on My Subscription detail view,true,,TRUE,
aA9G0000000Kz5rKAC,false,Global.MA.subs.shSav,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Show your save My Subscription detail view,true,,TRUE,
aA9G0000000Kz7UKAS,false,CHStore.HP.MC.DsplImg,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,,
aA9G0000000Kz7VKAS,false,CHStore.HP.BIB.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,FALSE,
aA9G0000000Kz7WKAS,false,CHStore.HP.MC.NoDspl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,,
aA9G0000000Kz7XKAS,false,CHStore.PLP.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,cc_tmpl_SubscriberTemplate,
aA9G0000000Kz7YKAS,false,CHStore.PDP.css.010,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,css/style-simpletooltip-min.css,
aA9G0000000Kz7ZKAS,false,CHStore.HP.BC.UsePI,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,FALSE,
aA9G0000000Kz7aKAC,false,CHStore.All.css.102,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,css/bootstrap_overwrite.css,
aA9G0000000Kz7bKAC,false,CHStore.All.css.100,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,css/styles.css,
aA9G0000000Kz95KAC,false,IRStore.CO.BIE.PIName,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,c__cc_jci_CheckoutReviewInclude,
aA9G0000000Kz97KAC,false,IRStore.All.PMT_cpo.Pay,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,c__cc_jci_CustomPOPay,
aA9G0000000Kz98KAC,false,IRStore.MA.BIE.PIName,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,c__cc_jci_MyAccountContactInfoInclude,
aA9G0000000Kz99KAC,false,IRStore.PLP.BIE.PIName,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-10-15 01:14:50,005G0000007vFt7IAE,2016-10-15 01:14:50,,,,true,,c__cc_jci_ProductListInclude,
aA9G0000000Kz9AKAS,false,IRStore.PLP.BIE.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,TRUE,
aA9G0000000Kz9BKAS,false,CHStore.All.PMT_cpo.Pay,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,c__cc_jci_CustomPOPay,
