id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,
a95G0000000L01GIAS,false,js,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,JavaScript,
a95G0000000L01HIAS,false,LI,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,List Item,
a95G0000000L01IIAS,false,ARP,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Accessories Tab,
a95G0000000L01JIAS,false,OH,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Order History,
a95G0000000L01KIAS,false,nav,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,My Account Navigation Bar,
a95G0000000L01LIAS,false,srch,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Search/Filter Widget,
a95G0000000L01MIAS,false,shAct,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Show Actions Column,
a95G0000000L01NIAS,false,HIB,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Header Include Begin,
a95G0000000L01OIAS,false,HIE,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Header Include End,
a95G0000000L01PIAS,false,BdIB,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,HTML Body Include Begin,
a95G0000000L02BIAS,false,PL,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Product List,
a95G0000000L02CIAS,false,PD,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Product Detail,
a95G0000000L02DIAS,false,PLP,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Product List Page,
a95G0000000L02EIAS,false,BIB,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Body Includes Begin,
a95G0000000L02FIAS,false,BIE,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Body Includes End,
a95G0000000L02GIAS,false,RP,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Related Products Widget,
a95G0000000L02HIAS,false,css,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Style Sheet,
a95G0000000L02IIAS,false,CT,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Category Tree,
a95G0000000L01QIAS,false,BdIE,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,HTML Body Include End,
