id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,code__c,countrycode__c,state__c,
aABG0000000Kyk1OAC,false,US_DE,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,DE,US,Delaware,
aABG0000000Kyk2OAC,false,US_FL,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,FL,US,Florida,
aABG0000000Kyk3OAC,false,US_GA,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,GA,US,Georgia,
aABG0000000Kyk4OAC,false,US_HI,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,HI,US,Hawaii,
aABG0000000Kyk5OAC,false,US_ID,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,ID,US,Idaho,
aABG0000000Kyk6OAC,false,US_IL,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,IL,US,Illinois,
aABG0000000Kyk7OAC,false,US_IN,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,IN,US,Indiana,
aABG0000000Kyk8OAC,false,US_IA,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,IA,US,Iowa,
aABG0000000Kyk9OAC,false,US_KS,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,KS,US,Kansas,
aABG0000000KykAOAS,false,US_KY,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,KY,US,Kentucky,
aABG0000000KykBOAS,false,US_LA,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,LA,US,Louisiana,
aABG0000000KykCOAS,false,US_ME,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,ME,US,Maine,
aABG0000000KykDOAS,false,US_MD,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,MD,US,Maryland,
aABG0000000KykEOAS,false,US_MA,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,MA,US,Massachusetts,
aABG0000000KykFOAS,false,US_MI,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,MI,US,Michigan,
aABG0000000KykGOAS,false,US_MN,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,MN,US,Minnesota,
aABG0000000KykHOAS,false,US_MS,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,MS,US,Mississippi,
