id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,code__c,countrycode__c,state__c,
aAB3B0000009q7zWAA,false,US_PA,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,PA,US,Pennsylvania,
aAB3B0000009q80WAA,false,US_RI,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,RI,US,Rhode Island,
aAB3B0000009q81WAA,false,US_SC,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,SC,US,South Carolina,
aAB3B0000009q82WAA,false,US_SD,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,SD,US,South Dakota,
aAB3B0000009q83WAA,false,US_TN,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,TN,US,Tennessee,
aAB3B0000009q84WAA,false,US_TX,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,TX,US,Texas,
aAB3B0000009q85WAA,false,US_UT,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,UT,US,Utah,
aAB3B0000009q74WAA,false,US_VT,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,VT,US,Vermont,
aAB3B0000009q75WAA,false,US_WI,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,WI,US,Wisconsin,
aAB3B0000009q76WAA,false,CA_ON,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,ON,CA,Ontario,
aAB3B0000009q77WAA,false,CA_PE,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,PE,CA,Prince Edward Island,
aAB3B0000009q78WAA,false,CA_QC,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,QC,CA,Quebec,
aAB3B0000009q79WAA,false,CA_SK,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,SK,CA,Saskatchewan,
