id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9Y3B000000CcDyUAK,false,IRStore:SSOLoginApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_ctrl_SSO,,,,,
a9Y3B000000CcDzUAK,false,IRStore:SSOLoginDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcE0UAK,false,IRStore:SSOLoginService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,,,,,,
a9Y3B000000CcE1UAK,false,IRStore:SUBSApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,cc_hk_Subscriptions,,,,,
a9Y3B000000CcE2UAK,false,IRStore:SUBSDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,,,,,,
a9Y3B000000CcE3UAK,false,IRStore:SUBSService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,,,,,,
a9Y3B000000CcB4UAK,false,ccLogicCartRemove:LCREM,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicCartRemove,,LCREM,lreg,,
a9Y3B000000CcB5UAK,false,ccLogicCartRemoveCart:LCREMC,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicCartRemoveCart,,LCREMC,lreg,,
a9Y3B000000CcB6UAK,false,ccLogicCategoryTree:LCATTR,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicCategoryTree,,LCATTR,lreg,,
a9Y3B000000CcB7UAK,false,ccLogicCouponClone:LCOUPCL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicCouponClone,,LCOUPCL,lreg,,
a9Y3B000000CcB8UAK,false,ccLogicI18NGetAvailableLocales:LSGAL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicI18NGetAvailableLocales,,LSGAL,lreg,,
a9Y3B000000CcB9UAK,false,ccLogicI18NGetLocale:LSGL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicI18NGetLocale,,LSGL,lreg,,
a9Y3B000000CcBAUA0,false,ccLogicI18NSetLocale:LSSL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicI18NSetLocale,,LSSL,lreg,,
a9Y3B000000CcBBUA0,false,ccLogicOrderAuthCancel:LOACL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderAuthCancel,,LOACL,lreg,,
a9Y3B000000CcBCUA0,false,ccLogicOrderCancel:LOCL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderCancel,,LOCL,lreg,,
a9Y3B000000CcCTUA0,false,CHStore:SSOLoginService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCUUA0,false,CHStore:SUBSApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Subscriptions,,,,,
a9Y3B000000CcCVUA0,false,CHStore:SUBSDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCWUA0,false,CHStore:SUBSService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCXUA0,false,CHStore:TaxCalculationApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_ctrl_TaxCalculation,,,,,
a9Y3B000000CcCYUA0,false,CHStore:UsrItfApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_UserInterface:v001,,,,,
a9Y3B000000CcCZUA0,false,CHStore:UsrItfDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCaUAK,false,CHStore:UsrItfService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
