id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9Y3B000000CcF6UAK,false,DefaultStore:PymtHKService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcF7UAK,false,CHStore:CatalogApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,c.cc_jci_hk_Catalog,,,,,
a9Y3B000000CcF8UAK,false,DefaultStore:PricingApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_hk_Pricing,,,,,
a9Y3B000000CcF9UAK,false,DefaultStore:PricingDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFAUA0,false,DefaultStore:PricingService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFBUA0,false,CHStore:CatalogDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFCUA0,false,CHStore:CatalogService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFDUA0,false,CHStore:PymtHKService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcGTUA0,false,CHStore:SUBSService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcGUUA0,false,CHStore:OrderHKApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,c.cc_jci_ctrl_ERPOrderHistory,,,,,
a9Y3B000000CcGVUA0,false,CHStore:OrderHKDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
