id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,code__c,countrycode__c,tracking_url__c,
a9mG0000000GmdUIAS,false,Federal Express,USD,00D3B0000008ukZUAQ,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,,,Fedex,,http://www.fedex.com/Tracking?action=track&tracknumbers={0}&cntry_code={1},
a9mG0000000GmdVIAS,false,UPS,USD,00D3B0000008ukZUAQ,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,,,UPS,,http://wwwapps.ups.com/WebTracking/track?track=yes&trackNums={0},
a9mG0000000GmdWIAS,false,DHL,USD,00D3B0000008ukZUAQ,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,,,DHL,US,http://www.dhl-usa.com/content/us/en/express/tracking.shtml?brand=DHL&AWB={0},
a9mG0000000GmdXIAS,false,DHL-Intl,USD,00D3B0000008ukZUAQ,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,,,DHL,,http://webtrack.dhlglobalmail.com/?mobile=&trackingnumber={0},
a9mG0000000GmdYIAS,false,US Postal Service,USD,00D3B0000008ukZUAQ,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,,,USPS,,http://wwwapps.ups.com/WebTracking/track?track=yes&trackNums={0},
a9mG0000000GmdZIAS,false,OnTrac,USD,00D3B0000008ukZUAQ,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,005G0000007ZLpxIAG,2016-06-16 00:38:26,,,OnTrac,,http://www.ontrac.com/trackingdetail.asp?tracking={0},
